City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,zadar,44.1197,15.2422,-1.66,86,0,2.57,HR,1675234227
342,asau,46.4333,26.4,1.51,84,100,3.15,RO,1675234532
343,cap malheureux,-19.9842,57.6142,29.7,70,100,3.58,MU,1675234510
344,zvishavane,-20.3267,30.0665,25.25,59,90,2.39,ZW,1675234533
345,horsham,51.064,-0.3272,6.68,83,20,4.63,GB,1675234534
346,uri,34.0833,74.0333,8.66,62,100,3.83,IN,1675234534
347,xiongzhou,25.1167,114.3,25.49,41,43,1.41,CN,1675234535
348,bere,9.3202,16.1552,26.67,17,13,3.49,TD,1675234535
349,dalnerechensk,45.9339,133.7225,-12.75,83,100,5.27,RU,1675234536
350,yambio,4.5721,28.3955,30.99,29,18,1.54,SS,1675234465
351,burnie,-41.0667,145.9167,19.97,35,88,4.66,AU,1675234537
352,wagar,16.1525,36.2032,26.9,46,24,3.38,SD,1675234537
353,imbituba,-28.24,-48.6703,22.76,82,0,0.98,BR,1675234538
354,harper,4.375,-7.7169,25.5,85,57,1.76,LR,1675234538
355,carolina,18.3808,-65.9574,24.98,79,75,6.17,PR,1675234539
356,puerto plata,19.7934,-70.6884,19.95,94,40,0.0,DO,1675234243
357,correntina,-13.3433,-44.6367,19.34,81,7,1.71,BR,1675234540
358,coos bay,43.3665,-124.2179,2.18,93,0,3.6,US,1675233990
359,skibbereen,51.55,-9.2667,10.06,75,100,7.92,IE,1675234541
360,coffs harbour,-30.3,153.1333,25.98,73,6,2.06,AU,1675234541
